S1,S2,S3
502,378,314
491,369,390
472,363,344
470,386,355
477,389,383
479,379,389
492,382,385
456,376,392
465,378,372
525,383,397
460,336,365
482,380,332
475,342,328
461,377,371
462,381,379
509,372,353
481,379,333
466,370,374
462,380,373
485,332,327
474,356,385
456,388,379
492,376,327
492,379,392
485,374,369
472,385,370
465,379,320
480,377,378
500,373,371
514,390,359
506,364,325
492,367,344
495,372,339
480,370,350
486,372,294
477,339,310
459,369,373
469,310,305
501,368,364
464,363,366
512,370,347
445,321,369
466,363,283
500,380,364
455,356,292
453,342,342
465,378,373
465,339,262
487,378,331
503,384,388
514,382,321
487,378,338
480,386,363
491,378,349
515,370,324
482,363,391
487,394,312
509,378,345
481,373,318
518,384,348
493,385,349
485,391,385
463,373,327
477,393,352
507,397,357
495,379,373
465,375,363
478,383,343
510,394,379
501,323,325
481,378,391
511,397,372
517,390,395
474,388,357
513,398,328
504,383,363
465,402,380
462,378,278
492,379,373
480,390,363
488,383,385
479,385,372
490,385,359
472,373,383
482,372,344
469,378,374
521,372,334
461,376,349
454,387,378
468,391,372
509,383,379
455,384,342
463,372,288
488,372,365
467,372,379
482,371,294
486,373,371
491,397,382
509,387,380
510,372,349
474,381,339
478,386,390
509,361,285
489,425,369
459,381,338
507,378,351
463,386,375
485,377,371
477,384,341
477,385,318
484,364,312
454,370,339
513,384,329
518,366,386
459,381,312
492,380,379
480,390,367
468,377,358
512,373,347
481,390,277
462,418,351
463,378,371
484,386,395
485,380,348
473,347,298
475,370,342
457,345,365
500,385,314
458,378,371
488,386,389
509,378,306
516,347,327
